,kcat,MW,kcat_MW
2HBO,783.4944448,36.8389,21.26812811
2HBO_reverse,783.4944448,36.8389,21.26812811
ACACT6p,357681.9429,36.8389,9709.354591
ACACT7p,357681.9429,36.8389,9709.354591
ACCOAC,11.20313333,36.8389,0.304111505
ACCOAC_reverse,11.20313333,36.8389,0.304111505
ACCOACrm,11.20313333,36.8389,0.304111505
ACCOACrm_reverse,11.20313333,36.8389,0.304111505
AGTi,29.6498,36.8389,0.804850308
ACGAM6PS,22.34075,36.8389,0.606444546
ACGAM6PS_reverse,22.34075,36.8389,0.606444546
AHCi,78.23733333,36.8389,2.12376953
ACGAMPM,15.05333333,36.8389,0.408626027
ACGAMPM_reverse,15.05333333,36.8389,0.408626027
ACGKm,63.46666667,36.8389,1.722816552
ACGSm,2.2,36.8389,0.059719481
ACHBSm,16.73154545,36.8389,0.454181462
ACHLE1,45.43396241,36.8389,1.233314849
ACHLE2,45.43396241,36.8389,1.233314849
ACLSm,16.73154545,36.8389,0.454181462
ACOAHim,7.26,36.8389,0.197074288
34HPLFM,67.18333333,36.8389,1.823706281
AIRCr,49.5,36.8389,1.343688329
AIRCr_reverse,49.5,36.8389,1.343688329
AKGDam,502.85,36.8389,13.64997326
AKGDam_reverse,502.85,36.8389,13.64997326
34HPPOR,4.909285714,36.8389,0.133263635
AKP1,1901.837143,36.8389,51.62578532
ALASm,0.20415,36.8389,0.005541696
ALATA_L,32.08166667,36.8389,0.87086386
ALATA_L_reverse,43.597,36.8389,1.183450103
ALATA_Lm,32.08166667,36.8389,0.87086386
ALATA_Lm_reverse,43.597,36.8389,1.183450103
ACOATA,7.362228794,36.8389,0.199849311
ACOATA_reverse,7.362228794,36.8389,0.199849311
ACOATAm,7.362228794,36.8389,0.199849311
ACOATAm_reverse,7.362228794,36.8389,0.199849311
ALATRS,6.545606667,36.8389,0.177681925
ACONT,202.78,36.8389,5.504507464
ACONT_reverse,202.78,36.8389,5.504507464
ACONTm,202.78,36.8389,5.504507464
ACONTm_reverse,202.78,36.8389,5.504507464
ACOTAim,1.185,36.8389,0.032167084
ALCD19y,21.94366667,36.8389,0.595665633
ALCD22xi,220.144,36.8389,5.975857042
ALCD22xim,220.144,36.8389,5.975857042
ALCD22yi,62.98529412,36.8389,1.709749589
ALCD23xi,223.587,36.8389,6.069318031
ALCD23xim,223.587,36.8389,6.069318031
ALCD23yi,258.5444442,36.8389,7.018245501
ALCD24xi,223.587,36.8389,6.069318031
ALCD24xim,223.587,36.8389,6.069318031
ACP1e,125.9333333,36.8389,3.418487885
ACPSm,0.6817275,36.8389,0.018505642
ACS,904.3727273,36.8389,24.54939554
ACSm,904.3727273,36.8389,24.54939554
ACSp,904.3727273,36.8389,24.54939554
ALCD24yi,60.775,36.8389,1.649750671
ALCD25xi,1115.551,36.8389,30.28187595
ALCD25xim,1115.551,36.8389,30.28187595
ALCD25yi,5.14925,36.8389,0.139777518
ADA,32.32716667,36.8389,0.877528012
ALCD2x_copy1,76.66029569,36.8389,2.080960498
ALCD2ir,457.2377776,36.8389,12.4118195
ALCD2irm,457.2377776,36.8389,12.4118195
ADCS,0.456842833,36.8389,0.012401099
ADD,94.57565278,36.8389,2.567276786
ADK1,605.2060806,36.8389,16.42845146
ADK1_reverse,525.0337834,36.8389,14.25215691
ADK1m,605.2060806,36.8389,16.42845146
ADK1m_reverse,525.0337834,36.8389,14.25215691
ADK3,145.316,36.8389,3.944634612
ADK3_reverse,145.316,36.8389,3.944634612
ALCD2x_copy2,76.66029569,36.8389,2.080960498
ALCD2x_copy2_reverse,457.2377776,36.8389,12.4118195
ALDD19xr,19.09505862,36.8389,0.518339544
ALDD20xm,5.927217839,36.8389,0.160895625
ALDD20y,6.526864706,36.8389,0.17717317
ALDD20ym,6.526864706,36.8389,0.17717317
ALDD22x,6.373793718,36.8389,0.173018025
ALDD2xm,9.377111122,36.8389,0.254543733
ALDD2y,5.957835,36.8389,0.161726735
ALDD2ym,5.957835,36.8389,0.161726735
ADK3m,145.316,36.8389,3.944634612
ADK3m_reverse,145.316,36.8389,3.944634612
ADMDC,4.99828833,36.8389,0.13567963
ADNCYC,0.35177,36.8389,0.009548874
ADNK1,1.973030303,36.8389,0.053558339
ADNUC,2.62094,36.8389,0.07114599
ALLTAHr,750,36.8389,20.35891408
ALLTAHr_reverse,750,36.8389,20.35891408
ALLTN,196.4908333,36.8389,5.333786658
ALLTN_reverse,196.4908333,36.8389,5.333786658
ADPT,2.472307692,36.8389,0.067111333
ADSK,43.2254,36.8389,1.17336294
ALPHNH,15.27,36.8389,0.414507491
AMAOTr,0.170346667,36.8389,0.004624098
AMAOTr_reverse,90.93074545,36.8389,2.468334979
ADSL1r,35.741,36.8389,0.970197264
ADSL1r_reverse,35.741,36.8389,0.970197264
AMID,245.692233,36.8389,6.669369417
AMID2,165.0538728,36.8389,4.480423488
AMID3,245.692233,36.8389,6.669369417
ADSL2r,35.741,36.8389,0.970197264
ADSL2r_reverse,35.741,36.8389,0.970197264
ADSS,2.161818182,36.8389,0.058683028
AMPN,41.33333333,36.8389,1.122002376
ANPRT,0.940111111,36.8389,0.025519522
ATPS3v,107.3877778,36.8389,2.915064722
3DSPHR,1.07,36.8389,0.029045384
ANS,23.48464706,36.8389,0.637495882
AOBUTDs,12.302,36.8389,0.333940481
AP4AH,56.242,36.8389,1.526701394
AP4AH_reverse,56.242,36.8389,1.526701394
APRTO2,2.417667479,36.8389,0.065628113
ARAB14LO,16.66666667,36.8389,0.452420313
ARAB14LO_reverse,16.66666667,36.8389,0.452420313
BACCL,81000.15677,36.8389,2198.766976
3HAO,264.4125,36.8389,7.17753516
ARABR,27.837,36.8389,0.755641455
ARGN,544.5606064,36.8389,14.7822168
BPNT,10.03448276,36.8389,0.27238823
BTDD_RR,292.8562588,36.8389,7.949647216
BTDD_RR_reverse,292.8562588,36.8389,7.949647216
BTSr,126.6126178,36.8389,3.43692721
BTSr_reverse,126.6126178,36.8389,3.43692721
C3STDH1,6091.842833,36.8389,165.3644065
ARGSL,230.4774444,36.8389,6.256360653
ARGSL_reverse,230.4774444,36.8389,6.256360653
ARGTRS,4.529,36.8389,0.122940696
ARGTRSm,4.529,36.8389,0.122940696
ASAD,202.7483333,36.8389,5.503647865
ASAD_reverse,171.6584,36.8389,4.659704823
C3STDH2,6091.842833,36.8389,165.3644065
C3STKR1,0.2574125,36.8389,0.006987519
ASNN,379.0277304,36.8389,10.28879067
ASNNe,379.0277304,36.8389,10.28879067
ASNS1,3.003181818,36.8389,0.081522027
ASNTRS,3.107166667,36.8389,0.084344719
ASNTRSm,3.107166667,36.8389,0.084344719
CAT,4664992.769,36.8389,126632.2493
CATp,4664992.769,36.8389,126632.2493
ASPCT,103.2683333,36.8389,2.803241501
3MOBDC,17.03705882,36.8389,0.462474689
ASPK,37.182,36.8389,1.009313525
ASPOcm,1.03645,36.8389,0.028134662
CBPS,400.8592308,36.8389,10.88141152
ASPTA,91.32,36.8389,2.478901379
ASPTA_reverse,290.075,36.8389,7.874149337
ASPTAm,91.32,36.8389,2.478901379
ASPTAm_reverse,290.075,36.8389,7.874149337
ASPTAp,91.32,36.8389,2.478901379
ASPTAp_reverse,290.075,36.8389,7.874149337
ASPTRS,4.838194118,36.8389,0.131333838
ASPTRSm,4.838194118,36.8389,0.131333838
3MOPDC,17.03705882,36.8389,0.462474689
ATHRDHr,12.302,36.8389,0.333940481
ATHRDHr_reverse,12.302,36.8389,0.333940481
ATPATF1,52.24,36.8389,1.418066229
ATPATF3,52.24,36.8389,1.418066229
ATPH1,113.5368904,36.8389,3.08198373
ATPM,4.806594203,36.8389,0.130476051
ATPPRT,2.136666667,36.8389,0.058000284
ATPS,4.806594203,36.8389,0.130476051
ATPS3g,107.3877778,36.8389,2.915064722
ATPS3m,107.3877778,36.8389,2.915064722
CHLPCTD,137.8425,36.8389,3.741764819
CHLSTI,0.423,36.8389,0.011482428
CHOLK,46.503,36.8389,1.262334109
CHORM,35.35908333,36.8389,0.959830053
CHORS,0.43915,36.8389,0.011920823
CHRPL,0.8674,36.8389,0.023545763
COAHLp,0.6817275,36.8389,0.018505642
COUCOAFm,17.14142278,36.8389,0.465307672
CPPPGO,0.764101292,36.8389,0.020741697
DCTPD,257.71,36.8389,6.995594331
DCYTD,4.85,36.8389,0.131654311
CSNATm,42.53666667,36.8389,1.154667123
CSNATm_reverse,42.53666667,36.8389,1.154667123
DDPA,15.6081,36.8389,0.423685289
DDPAm,15.6081,36.8389,0.423685289
DESAT14,0.283333967,36.8389,0.007691163
DESAT16,0.283333967,36.8389,0.007691163
DESAT18,0.283333967,36.8389,0.007691163
CSNATp,42.53666667,36.8389,1.154667123
CSNATp_reverse,42.53666667,36.8389,1.154667123
CSNATr,42.53666667,36.8389,1.154667123
CSNATr_reverse,42.53666667,36.8389,1.154667123
CSND,51.48368421,36.8389,1.397535871
CSm,219.2055556,36.8389,5.950382763
CSp,219.2055556,36.8389,5.950382763
DGGH,55.89923077,36.8389,1.517396849
DGK1,330.2090909,36.8389,8.963598015
DGK1_reverse,330.2090909,36.8389,8.963598015
CTPS1,3.749555556,36.8389,0.101782506
CTPS2,3.264481481,36.8389,0.088615064
DHAD1m,14.89546154,36.8389,0.404340562
DHAD2m,14.89546154,36.8389,0.404340562
DHAK,11.437,36.8389,0.310459867
DHFR,106.076,36.8389,2.879456227
CYSS,232.6072727,36.8389,6.314175307
CYSTGL,2.283636364,36.8389,0.061989809
CYSTL,4207.556,36.8389,114.2150281
CYSTLp,4207.556,36.8389,114.2150281
CYSTRS,14.63670588,36.8389,0.397316583
CYSTS,10.67157895,36.8389,0.289682345
DHFRim,106.076,36.8389,2.879456227
DHFS,0.141333333,36.8389,0.003836524
DHORD4i,166.23,36.8389,4.512349717
DHORDfum,103.1113056,36.8389,2.79897895
CYTD,4.85,36.8389,0.131654311
CYTDK2,146.24082,36.8389,3.969739053
DHORDi,3.829090909,36.8389,0.10394151
DHORTS,25.88615385,36.8389,0.702685309
DHORTS_reverse,25.88615385,36.8389,0.702685309
4HBZFm,5.117769444,36.8389,0.138922971
DHQS,3.838461538,36.8389,0.104195878
DHQTi,70.20612903,36.8389,1.905760732
CYTK1,150.8181818,36.8389,4.093992541
CYTK1_reverse,76.13538462,36.8389,2.066711672
CYTK2,56.21818182,36.8389,1.526054845
CYTK2_reverse,76.13538462,36.8389,2.066711672
DADA,27.26651515,36.8389,0.740155519
DADK,279.29063,36.8389,7.581405254
DADK_reverse,525.0337834,36.8389,14.25215691
DIAT,2.511,36.8389,0.068161644
DMATT,0.599571429,36.8389,0.016275498
DNMPPA,0.277647101,36.8389,0.007536791
DNTPPA,4.10015,36.8389,0.111299469
DBTS,17.36576042,36.8389,0.471397366
DBTS_reverse,17.36576042,36.8389,0.471397366
DCMPDA,665.7333333,36.8389,18.07147698
DCMPDA_reverse,665.7333333,36.8389,18.07147698
4HGLSDm,6.098,36.8389,0.165531544
4HGLSDm_reverse,6.098,36.8389,0.165531544
DPCOAK,7.081233333,36.8389,0.192221628
DPCOAKm,7.081233333,36.8389,0.192221628
DPGM,5.631245455,36.8389,0.15286139
DPGM_reverse,5.631245455,36.8389,0.15286139
DPMVD,6.8608,36.8389,0.186237917
ECOAH4p,1111.9,36.8389,30.18276876
ECOAH4p_reverse,1111.9,36.8389,30.18276876
ECOAH5p,1111.9,36.8389,30.18276876
ECOAH5p_reverse,1111.9,36.8389,30.18276876
DPR,13.78,36.8389,0.374061115
DPRm,13.78,36.8389,0.374061115
ECOAH6p,1111.9,36.8389,30.18276876
ECOAH6p_reverse,1111.9,36.8389,30.18276876
DRBK,16.70857143,36.8389,0.453557827
ECOAH7p,1111.9,36.8389,30.18276876
ECOAH7p_reverse,1111.9,36.8389,30.18276876
ECOAH8p,1111.9,36.8389,30.18276876
ECOAH8p_reverse,1111.9,36.8389,30.18276876
4HTHRS,0.998610288,36.8389,0.027107495
ENO,31.52811195,36.8389,0.855837497
ENO_reverse,31.52811195,36.8389,0.855837497
DTMPK,7.773636364,36.8389,0.21101706
DTMPK_reverse,0.978,36.8389,0.026548024
DURIK1,2.3655,36.8389,0.064212015
DURIPP,23.86,36.8389,0.64768492
DURIPP_reverse,29.44692308,36.8389,0.799343169
DUTPDP,16.832,36.8389,0.456908322
EPMGH,138.6958333,36.8389,3.764928739
EPMGH_reverse,138.6958333,36.8389,3.764928739
4MOPDC,130.975,36.8389,3.555345029
ERGSTGLCT,134.3567909,36.8389,3.647144483
ETHAK,6.48672,36.8389,0.176083434
ECOAH11p,1111.9,36.8389,30.18276876
ECOAH11p_reverse,1111.9,36.8389,30.18276876
AACTOOR,35.21118182,36.8389,0.955815234
AASAD1,9.8869,36.8389,0.268382064
AASAD2,29.45555556,36.8389,0.7995775
AATA,8.762166667,36.8389,0.237850931
AATA_reverse,8.762166667,36.8389,0.237850931
ABTA,23.78545455,36.8389,0.645661367
ABUTDm,5.927217839,36.8389,0.160895625
EX_oaa_e,30.245,36.8389,0.821007142
ACACT1r,455220.6364,36.8389,12357.06377
ACACT1m,455220.6364,36.8389,12357.06377
ACACT4p,357681.9429,36.8389,9709.354591
ACACT5p,455220.6364,36.8389,12357.06377
FA140ACPHi,0.952222222,36.8389,0.025848281
FA140ACPHi_reverse,0.952222222,36.8389,0.025848281
FACOAL180,2.951636364,36.8389,0.080122815
FACOAL180_reverse,2.951636364,36.8389,0.080122815
FA141ACPHi,0.952222222,36.8389,0.025848281
FA141ACPHi_reverse,0.952222222,36.8389,0.025848281
FACOAL80p,2.951636364,36.8389,0.080122815
FACOAL80p_reverse,2.951636364,36.8389,0.080122815
FALDH,3438.130667,36.8389,93.32880913
FALDH_reverse,3438.130667,36.8389,93.32880913
FA160ACPHi,0.952222222,36.8389,0.025848281
FA160ACPHi_reverse,0.952222222,36.8389,0.025848281
FA161ACPHi,0.952222222,36.8389,0.025848281
FA161ACPHi_reverse,0.952222222,36.8389,0.025848281
FAS180,8.861063637,36.8389,0.240535511
FAS100,8.861063637,36.8389,0.240535511
FA180ACPH,0.952222222,36.8389,0.025848281
FA180ACPH_reverse,0.952222222,36.8389,0.025848281
FA181ACPH,0.952222222,36.8389,0.025848281
FA181ACPH_reverse,0.952222222,36.8389,0.025848281
FAS120,8.861063637,36.8389,0.240535511
FAS140,8.861063637,36.8389,0.240535511
FACOAL100p,2.951636364,36.8389,0.080122815
FACOAL100p_reverse,2.951636364,36.8389,0.080122815
FACOAL120p,2.951636364,36.8389,0.080122815
FACOAL120p_reverse,2.951636364,36.8389,0.080122815
FACOAL141,2.951636364,36.8389,0.080122815
FACOAL141_reverse,2.951636364,36.8389,0.080122815
FACOAL141p,2.951636364,36.8389,0.080122815
FACOAL141p_reverse,2.951636364,36.8389,0.080122815
FAS160,8.861063637,36.8389,0.240535511
FACOAL160,2.951636364,36.8389,0.080122815
FACOAL160_reverse,2.951636364,36.8389,0.080122815
FACOAL160p,2.951636364,36.8389,0.080122815
FACOAL160p_reverse,2.951636364,36.8389,0.080122815
G3PDm,37.95,36.8389,1.030161053
GLUK,47.97074737,36.8389,1.302176432
G3PT,125.9333333,36.8389,3.418487885
GLUN,30.81117241,36.8389,0.836376016
G6PDA,227.0055556,36.8389,6.162115469
G6PDH2r,253.91,36.8389,6.8924425
G6PDH2er,253.91,36.8389,6.8924425
G6PI,1450.578182,36.8389,39.3762621
G6PI_reverse,3035.356,36.8389,82.39540269
G6PI3,3035.356,36.8389,82.39540269
G6PI3_reverse,3304.72,36.8389,89.7073474
GALIGH,138.6958333,36.8389,3.764928739
GALIGH_reverse,138.6958333,36.8389,3.764928739
GALKr,31.49090909,36.8389,0.854827617
GALS3,138.6958333,36.8389,3.764928739
GALT,343.59375,36.8389,9.326927514
GALT_reverse,343.59375,36.8389,9.326927514
GLUSx,48.2,36.8389,1.308399545
GLUTRS,1.428709091,36.8389,0.038782621
GLUTRSm,1.428709091,36.8389,0.038782621
GLYAT,0.19075,36.8389,0.00517795
GLYAT_reverse,0.19075,36.8389,0.00517795
GALUi,206.92,36.8389,5.616888669
GALUi_reverse,272.8834146,36.8389,7.407479991
GAPD,25.69738335,36.8389,0.697561093
GAPD_reverse,25.69738335,36.8389,0.697561093
GLYCDy,50.7125,36.8389,1.376601907
GLYCLm,180.8097493,36.8389,4.908120203
GARFT,6.3756,36.8389,0.173067057
GCC2am,0.886203636,36.8389,0.024056192
GCC2am_reverse,0.886203636,36.8389,0.024056192
GCC2bim,15.39166667,36.8389,0.417810159
GCC2cm_copy1,289.03,36.8389,7.845782583
GCC2cm_copy1_reverse,289.03,36.8389,7.845782583
GCCam,0.886203636,36.8389,0.024056192
GCCam_reverse,0.886203636,36.8389,0.024056192
GCCbim,15.39166667,36.8389,0.417810159
GLYK,3285,36.8389,89.17204368
GLYOX,543.3833333,36.8389,14.75025946
GLYOXm,543.3833333,36.8389,14.75025946
GLYTRS,146.3657143,36.8389,3.973129336
GCCcm,289.03,36.8389,7.845782583
GCCcm_reverse,289.03,36.8389,7.845782583
GMPS2,5.511181818,36.8389,0.149602236
GND,85.98692308,36.8389,2.334133839
FAS80_L,8.861063637,36.8389,0.240535511
GNNUC,11.40086,36.8389,0.309478839
GF6PTA,10.94529538,36.8389,0.297112438
GPDDA1,4.346885185,36.8389,0.117997149
GGLGH,138.6958333,36.8389,3.764928739
GGLGH_reverse,138.6958333,36.8389,3.764928739
FBA,8.280250641,36.8389,0.224769215
FBA_reverse,6.631898364,36.8389,0.180024332
GGTT,6.68E-06,36.8389,1.81E-07
GHMT2r,3.92585,36.8389,0.106568057
GHMT2r_reverse,3.790891228,36.8389,0.102904572
GHMT2rm,3.92585,36.8389,0.106568057
GHMT2rm_reverse,3.790891228,36.8389,0.102904572
GRTT,7.893761905,36.8389,0.214277894
GK1,330.2090909,36.8389,8.963598015
GK1_reverse,330.2090909,36.8389,8.963598015
GK2,330.2090909,36.8389,8.963598015
GK2_reverse,330.2090909,36.8389,8.963598015
GTHOr,324.5624243,36.8389,8.810318014
GTHOm,324.5624243,36.8389,8.810318014
FBA2,1.437424072,36.8389,0.039019191
FBA2_reverse,6.631898364,36.8389,0.180024332
GTHPi,15476.06385,36.8389,420.1011389
GTHPi_reverse,30814.44,36.8389,836.4647153
GTHPm,15476.06385,36.8389,420.1011389
GTHPm_reverse,30814.44,36.8389,836.4647153
FBA3,6.631898364,36.8389,0.180024332
FBA3_reverse,6.631898364,36.8389,0.180024332
GLNS,170.9786667,36.8389,4.641253313
GLNTRS,1.817966667,36.8389,0.049349103
GTHS,8.2815,36.8389,0.224803129
GTMLT,30.48804348,36.8389,0.82760461
FBP,19.184375,36.8389,0.520764056
GTPCI,14.41892222,36.8389,0.391404798
GTPH1,113.5368904,36.8389,3.08198373
GLPT,96.38166667,36.8389,2.616301428
FBP26,0.0565,36.8389,0.001533705
GLUCYS,6.8998,36.8389,0.187296581
GLUDC,20.134025,36.8389,0.546542513
GUAD,71.258,36.8389,1.934314
GUAPRT,3.065384615,36.8389,0.083210536
GLUDxi,106.6633637,36.8389,2.895400344
GLUDy,96.926394,36.8389,2.63108817
GLUDy_reverse,1589.818571,36.8389,43.15597294
FCLTm,0.0439,36.8389,0.001191675
FDH,69.961,36.8389,1.899106651
HACD10p,89.90909091,36.8389,2.440601943
HACD10p_reverse,89.90909091,36.8389,2.440601943
HACD4p,89.90909091,36.8389,2.440601943
HACD4p_reverse,89.90909091,36.8389,2.440601943
HACD5p,89.90909091,36.8389,2.440601943
HACD5p_reverse,89.90909091,36.8389,2.440601943
HACD6p,89.90909091,36.8389,2.440601943
HACD6p_reverse,89.90909091,36.8389,2.440601943
HCO3E,1369309.091,36.8389,37170.19485
HCO3E_reverse,1350616.667,36.8389,36662.7849
HCO3Em,1369309.091,36.8389,37170.19485
HCO3Em_reverse,1350616.667,36.8389,36662.7849
HCO3En,1369309.091,36.8389,37170.19485
HCO3En_reverse,1350616.667,36.8389,36662.7849
HACD7p,89.90909091,36.8389,2.440601943
HACD7p_reverse,89.90909091,36.8389,2.440601943
HACD8p,89.90909091,36.8389,2.440601943
HACD8p_reverse,89.90909091,36.8389,2.440601943
HACNHm,2.662352941,36.8389,0.072270153
HACNHm_reverse,2.662352941,36.8389,0.072270153
HCYSMT,0.101036364,36.8389,0.002742654
HEX1,49.74785385,36.8389,1.350416376
HEX4,35.03772727,36.8389,0.951106772
HEX7,945.142,36.8389,25.65608637
HGNTOR,36.98111111,36.8389,1.003860352
HICITDm,72.79230769,36.8389,1.975963118
HICITDm_reverse,72.79230769,36.8389,1.975963118
IMPC,8.6,36.8389,0.233448881
IMPC_reverse,8.6,36.8389,0.233448881
FKYNH,66.145,36.8389,1.795520496
IMPD,1.654520113,36.8389,0.04491231
HISTD,5.091545455,36.8389,0.138211115
FMETTRSm,16.34395,36.8389,0.443660098
HISTP,463.8892308,36.8389,12.59237466
HISTRS,43.9151,36.8389,1.192084997
INDPYRD,8.296153846,36.8389,0.225200911
INDPYRD_reverse,8.296153846,36.8389,0.225200911
HISTRSm,43.9151,36.8389,1.192084997
FMNAT,0.032409091,36.8389,0.000879752
HKYNH,3.256666667,36.8389,0.088402929
HMBS,0.25,36.8389,0.006786305
HMGCOAR,0.023,36.8389,0.00062434
HMGCOAR_reverse,0.023,36.8389,0.00062434
HMGCOAS,1.28085,36.8389,0.034768953
HMGCOAS_reverse,1.28085,36.8389,0.034768953
