reactions_strain0,km_strain0,reactions_strain1,km_strain1
EX_acgam_e,2,EX_13BDglcn_e,2
EX_cellb_e,2,EX_2hb_e,2
EX_chol_e,2,EX_2mbac_e,2
EX_pi_e,2,EX_2mbald_e,2
EX_h_e,2,EX_2mbtoh_e,2
EX_ade_e,2,EX_2mppal_e,2
EX_4abut_e,2,EX_2phetoh_e,2
EX_ac_e,2,EX_3c3hmp_e,2
EX_akg_e,2,EX_3mbald_e,2
EX_ala__L_e,2,EX_3mop_e,2
EX_arg__L_e,2,EX_4abut_e,2
EX_asp__L_e,2,EX_4abz_e,2
EX_cytd_e,2,EX_5aop_e,2
EX_dcyt_e,2,EX_8aonn_e,2
EX_fum_e,2,EX_abt_e,2
EX_glu__L_e,2,EX_acald_e,2
EX_gua_e,2,EX_ac_e,2
EX_met__L_e,2,EX_aces_e,2
EX_metsox_S__L_e,2,EX_ade_e,2
EX_crn_e,2,EX_adn_e,2
EX_fe3_e,2,EX_akg_e,2
EX_glcn_e,2,EX_ala__L_e,2
EX_gln__L_e,2,EX_alltn_e,2
EX_glyc_e,2,EX_alltt_e,2
EX_man_e,2,EX_amet_e,2
EX_mn2_e,2,EX_arab__D_e,2
EX_rib__D_e,2,EX_arab__L_e,2
EX_sbt__D_e,2,EX_arg__L_e,2
EX_ura_e,2,EX_asn__L_e,2
EX_val__L_e,2,EX_asp__L_e,2
EX_xan_e,2,EX_btd_RR_e,2
EX_co2_e,2,EX_btn_e,2
EX_hxan_e,2,EX_chol_e,2
EX_ile__L_e,2,EX_cit_e,2
EX_lac__L_e,2,EX_co2_e,2
EX_leu__L_e,2,EX_crn_e,2
EX_no3_e,2,EX_csn_e,2
EX_orn_e,2,EX_cys__L_e,2
EX_pro__L_e,2,EX_cytd_e,2
EX_pyr_e,2,EX_dad_2_e,2
EX_succ_e,2,EX_dann_e,2
EX_thymd_e,2,EX_dca_e,2
EX_tyr__L_e,2,EX_dcyt_e,2
EX_btn_e,2,EX_ddca_e,2
EX_ptrc_e,2,EX_dgsn_e,2
EX_spmd_e,2,EX_din_e,2
EX_thym_e,2,EX_dttp_e,2
EX_xtsn_e,2,EX_duri_e,2
EX_fe2_e,2,EX_epist_e,2
EX_glc__D_e,2,EX_epistest_SC_e,2
EX_alltn_e,2,EX_ergst_e,2
EX_dgsn_e,2,EX_ergstest_SC_e,2
EX_arab__L_e,2,EX_etha_e,2
EX_fru_e,2,EX_etoh_e,2
EX_gal_e,2,EX_fe2_e,2
EX_xyl__D_e,2,EX_fecost_e,2
EX_duri_e,2,EX_fecostest_SC_e,2
EX_for_e,2,EX_fmn_e,2
EX_gly_e,2,EX_for_e,2
EX_h2_e,2,EX_fru_e,2
EX_lys__L_e,2,EX_fum_e,2
EX_ser__L_e,2,EX_g3pc_e,2
EX_thm_e,2,EX_g3pi_e,2
EX_trp__L_e,2,EX_gal_e,2
EX_din_e,2,EX_galur_e,2
EX_fmn_e,2,EX_gam6p_e,2
EX_gthox_e,2,EX_gcald_e,2
EX_acald_e,2,EX_glc__D_e,2
EX_melib_e,2,EX_gln__L_e,2
EX_sucr_e,2,EX_glu__L_e,2
EX_tre_e,2,EX_glx_e,2
EX_zn2_e,2,EX_glyc_e,2
EX_tmao_e,2,EX_gly_e,2
EX_26dap__M_e,2,EX_gsn_e,2
EX_acnam_e,2,EX_gthox_e,2
EX_amp_e,2,EX_gthrd_e,2
EX_dha_e,2,EX_gua_e,2
EX_fuc__L_e,2,EX_h2o_e,2
EX_glyald_e,2,EX_hdca_e,2
EX_rmn_e,2,EX_hdcea_e,2
EX_ttdca_e,2,EX_h_e,2
EX_glyclt_e,2,EX_hexc_e,2
EX_g6p_e,2,EX_his__L_e,2
EX_2ddglcn_e,2,EX_hxan_e,2
EX_galct__D_e,2,EX_iamac_e,2
EX_idon__L_e,2,EX_iamoh_e,2
EX_indole_e,2,EX_ibutac_e,2
EX_3hcinnm_e,2,EX_ibutoh_e,2
EX_acmana_e,2,EX_id3acald_e,2
EX_galur_e,2,EX_ile__L_e,2
EX_but_e,2,EX_ind3eth_e,2
EX_cbl1_e,2,EX_inost_e,2
EX_gbbtn_e,2,EX_ins_e,2
EX_tma_e,2,EX_k_e,2
EX_malttr_e,2,EX_lac__D_e,2
EX_hdcea_e,2,EX_lac__L_e,2
EX_nmn_e,2,EX_lanost_e,2
EX_urea_e,2,EX_lanostest_SC_e,2
EX_f6p_e,2,EX_leu__L_e,2
EX_lac__D_e,2,EX_lys__L_e,2
EX_ttdcea_e,2,EX_mal__L_e,2
EX_h2s_e,2,EX_malt_e,2
EX_gthrd_e,2,EX_man_e,2
EX_met__D_e,2,EX_melib_e,2
EX_tartr__L_e,2,EX_met__L_e,2
EX_taur_e,2,EX_mmet_e,2
EX_maltpt_e,2,EX_na1_e,2
EX_glcur_e,2,EX_nac_e,2
EX_mmet_e,2,EX_nadp_e,2
EX_mg2_e,2,EX_Nbfortyr_e,2
EX_acac_e,2,EX_nh4_e,2
EX_adn_e,2,EX_nmn_e,2
EX_ins_e,2,EX_o2_e,2
EX_glyc3p_e,2,EX_oaa_e,2
EX_lcts_e,2,EX_ocdca_e,2
EX_nac_e,2,EX_ocdcea_e,2
EX_ocdca_e,2,EX_ocdcya_e,2
EX_dad_2_e,2,EX_orn_e,2
EX_ser__D_e,2,EX_pacald_e,2
EX_gam6p_e,2,EX_pap_e,2
EX_15dap_e,2,EX_pc_SC_e,2
EX_ocdcea_e,2,EX_pectin_e,2
EX_cynt_e,2,EX_pepd_e,2
EX_galctn__D_e,2,EX_pheac_e,2
EX_glyb_e,2,EX_phe__L_e,2
EX_ca2_e,2,EX_pi_e,2
EX_so3_e,2,EX_pnto__R_e,2
EX_ascb__L_e,2,EX_pro__L_e,2
EX_ala_B_e,2,EX_ptd1ino_SC_e,2
EX_agm_e,2,EX_ptrc_e,2
EX_minohp_e,2,EX_pyr_e,2
EX_ppt_e,2,EX_rib__D_e,2
EX_hxa_e,2,EX_ribflv_e,2
EX_lyx__L_e,2,EX_sbt__D_e,2
EX_acmum_e,2,EX_sbt__L_e,2
EX_dca_e,2,EX_ser__L_e,2
EX_all__D_e,2,EX_so3_e,2
EX_octa_e,2,EX_so4_e,2
EX_xylu__L_e,2,EX_spmd_e,2
EX_gdp_e,2,EX_sprm_e,2
EX_gtp_e,2,EX_srb__L_e,2
EX_fruur_e,2,EX_succ_e,2
EX_ch4_e,2,EX_sucr_e,2
EX_fad_e,2,EX_taur_e,2
EX_fe3dcit_e,2,EX_thm_e,2
EX_fe3hox_e,2,EX_thmmp_e,2
EX_fecrm_e,2,EX_thmpp_e,2
EX_feenter_e,2,EX_thr__L_e,2
EX_feoxam_e,2,EX_thymd_e,2
EX_cbi_e,2,EX_thym_e,2
EX_arbtn_fe3_e,2,EX_tre_e,2
EX_cpgn_e,2,EX_trp__L_e,2
EX_adocbl_e,2,EX_ttdca_e,2
EX_ppa_e,2,EX_tyr__L_e,2
EX_ni2_e,2,EX_ura_e,2
EX_no_e,2,EX_urea_e,2
EX_meoh_e,2,EX_uri_e,2
GLCtex_copy1,2,EX_val__L_e,2
EX_cu2_e,2,EX_xan_e,2
EX_pheme_e,2,EX_xtsn_e,2
EX_mal__D_e,2,EX_xyl__D_e,2
EX_cobalt2_e,2,EX_xylt_e,2
EX_mso3_e,2,EX_zymst_e,2
EX_23camp_e,2,EX_zymstest_SC_e,2
EX_23cgmp_e,2,EX_fe2_e_reverse,2
EX_23cump_e,2,EX_glc__D_e_reverse,2
EX_3amp_e,2,EX_h2o_e_reverse,2
EX_3gmp_e,2,EX_h_e_reverse,2
EX_3ump_e,2,EX_k_e_reverse,2
EX_glyc__R_e,2,EX_na1_e_reverse,2
EX_eca4colipa_e,2,EX_nh4_e_reverse,2
EX_sel_e,2,EX_o2_e_reverse,2
EX_hg2_e,2,EX_pi_e_reverse,2
EX_sulfac_e,2,EX_so4_e_reverse,2
EX_butso3_e,2,,
EX_ethso3_e,2,,
EX_tym_e,2,,
EX_imp_e,2,,
EX_cd2_e,2,,
EX_fe3hox_un_e,2,,
EX_23dappa_e,2,,
EX_enter_e,2,,
EX_fecrm_un_e,2,,
EX_cgly_e,2,,
EX_chtbs_e,2,,
EX_gmp_e,2,,
EX_h2o2_e,2,,
EX_ump_e,2,,
EX_pydam_e,2,,
EX_etha_e,2,,
EX_frulys_e,2,,
EX_enlipa_e,2,,
EX_hacolipa_e,2,,
EX_h2o_e,2,,
EX_ala__D_e,2,,
EX_hdca_e,2,,
EX_glcr_e,2,,
EX_mnl_e,2,,
EX_asn__L_e,2,,
EX_mal__L_e,2,,
EX_no2_e,2,,
EX_nh4_e,2,,
EX_ddca_e,2,,
EX_r5p_e,2,,
EX_glyc2p_e,2,,
EX_malt_e,2,,
EX_pnto__R_e,2,,
EX_cit_e,2,,
EX_gam_e,2,,
EX_inost_e,2,,
EX_mobd_e,2,,
EX_so4_e,2,,
EX_phe__L_e,2,,
EX_thr__L_e,2,,
EX_uri_e,2,,
EX_halipa_e,2,,
EX_cmp_e,2,,
EX_malthx_e,2,,
EX_csn_e,2,,
EX_etoh_e,2,,
EX_his__L_e,2,,
EX_k_e,2,,
EX_na1_e,2,,
EX_dmso_e,2,,
EX_12ppd__S_e,2,,
EX_pppn_e,2,,
EX_acgam1p_e,2,,
EX_galt_e,2,,
EX_glcur1p_e,2,,
EX_thrp_e,2,,
EX_pydxn_e,2,,
EX_cys__L_e,2,,
EX_gsn_e,2,,
EX_orot_e,2,,
EX_o2_e,2,,
EX_gal_bD_e,2,,
EX_dump_e,2,,
EX_o2s_e,2,,
EX_gal1p_e,2,,
EX_dcmp_e,2,,
EX_23ccmp_e,2,,
EX_3cmp_e,2,,
EX_skm_e,2,,
EX_ag_e,2,,
EX_cys__D_e,2,,
EX_acser_e,2,,
EX_cu_e,2,,
EX_arbtn_e,2,,
EX_dopa_e,2,,
EX_hom__L_e,2,,
EX_LalaDgluMdapDala_e,2,,
EX_LalaDgluMdap_e,2,,
EX_anhgm_e,2,,
EX_fald_e,2,,
EX_g3pe_e,2,,
EX_pacald_e,2,,
EX_acgal_e,2,,
EX_so2_e,2,,
EX_dms_e,2,,
EX_acgal1p_e,2,,
EX_cyan_e,2,,
EX_tyrp_e,2,,
EX_uacgam_e,2,,
EX_udpacgal_e,2,,
EX_udpg_e,2,,
EX_udpgal_e,2,,
EX_udpglcur_e,2,,
EX_14glucan_e,2,,
EX_pser__L_e,2,,
EX_aso3_e,2,,
EX_tcynt_e,2,,
EX_fe3dhbzs_e,2,,
EX_feoxam_un_e,2,,
EX_g3pc_e,2,,
EX_g3pg_e,2,,
EX_g3pi_e,2,,
EX_g3ps_e,2,,
EX_peamn_e,2,,
EX_34dhpac_e,2,,
EX_xmp_e,2,,
EX_damp_e,2,,
EX_dimp_e,2,,
EX_isetac_e,2,,
EX_dgmp_e,2,,
EX_4hoxpacd_e,2,,
EX_manglyc_e,2,,
EX_metsox_R__L_e,2,,
EX_cl_e,2,,
EX_3hpppn_e,2,,
EX_man6p_e,2,,
EX_tsul_e,2,,
EX_n2o_e,2,,
EX_maltttr_e,2,,
EX_lipoate_e,2,,
EX_pydx_e,2,,
EX_g1p_e,2,,
GLCtex_copy2,2,,
EX_alaala_e,2,,
EX_dtmp_e,2,,
EX_progly_e,2,,
EX_12ppd__R_e,2,,
EX_urate_e,2,,
EX_cpgn_un_e,2,,
EX_tartr__D_e,2,,
EX_tungs_e,2,,
EX_crn__D_e,2,,
EX_psclys_e,2,,
EX_galctn__L_e,2,,
EX_5dglcn_e,2,,
EX_ppal_e,2,,
EX_slnt_e,2,,
EX_LalaDglu_e,2,,
EX_LalaLglu_e,2,,
EX_ttrcyc_e,2,,
EX_mincyc_e,2,,
EX_doxrbcn_e,2,,
EX_fusa_e,2,,
EX_cm_e,2,,
EX_novbcn_e,2,,
EX_rfamp_e,2,,
EX_quin_e,2,,
EX_3hpp_e,2,,
EX_5mtr_e,2,,
EX_arbt_e,2,,
EX_dxylnt_e,2,,
EX_mththf_e,2,,
EX_dhps_e,2,,
EX_cs1_e,2,,
EX_mepn_e,2,,
EX_sq_e,2,,
EX_4abzglu_e,2,,
EX_metglcur_e,2,,
EX_2dglc_e,2,,
EX_pi_e_reverse,2,,
EX_h_e_reverse,2,,
EX_fe3_e_reverse,2,,
EX_mn2_e_reverse,2,,
EX_co2_e_reverse,2,,
EX_fe2_e_reverse,2,,
EX_glc__D_e_reverse,2,,
EX_zn2_e_reverse,2,,
EX_mg2_e_reverse,2,,
EX_ca2_e_reverse,2,,
EX_ni2_e_reverse,2,,
EX_cu2_e_reverse,2,,
EX_cobalt2_e_reverse,2,,
EX_sel_e_reverse,2,,
EX_h2o_e_reverse,2,,
EX_nh4_e_reverse,2,,
EX_mobd_e_reverse,2,,
EX_so4_e_reverse,2,,
EX_k_e_reverse,2,,
EX_na1_e_reverse,2,,
EX_o2_e_reverse,2,,
EX_cl_e_reverse,2,,
GLCtex_copy2_reverse,2,,
EX_tungs_e_reverse,2,,
EX_slnt_e_reverse,2,,
